NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Bernhard Langer,66,2019,"$25,415 ",5,0,4,0,0,0,74,0,0,0,0,0,0
Fred Couples,64,2019,"$23,680 ",13,0,8,0,0,0,72.1,0,0,0,0,0,0
Ricky Barnes,43,2019,"$22,370 ",9,0,25,2,0,0,71.8,0,0,0,0,0,0
Tommy Gainey,48,2019,"$21,560 ",12,0,10,2,0,0,71.5,0,0,0,0,0,0
Rich Beem,53,2019,"$18,550 ",2,0,4,1,0,0,73.8,0,0,0,0,0,0
Charlie Beljan,39,2019,"$18,304 ",12,0,12,2,0,0,71.3,0,0,0,0,0,0
Derek Ernst,33,2019,"$15,172 ",4,0,10,2,0,0,72.2,0,0,0,0,0,0
Robert Allenby,52,2019,"$14,715 ",7,0,10,2,0,0,73.2,0,0,0,0,0,0
Brandon Hagy,32,2019,"$14,555 ",4,0,29,1,0,0,71.7,0,0,0,0,0,0
Smylie Kaufman,31,2019,"$14,454 ",3,0,12,1,0,0,73.2,0,0,0,0,0,0
Tom Lehman,65,2019,"$13,952 ",5,0,6,0,0,0,71.8,0,0,0,0,0,0
John Merrick,41,2019,"$13,611 ",5,0,11,2,0,0,71.6,0,0,0,0,0,0
Charlie Wi,52,2019,"$12,735 ",3,0,7,2,0,0,72.4,0,0,0,0,0,0
Omar Uresti,55,2019,"$12,690 ",3,0,8,0,0,0,74.4,0,0,0,0,0,0
Brendon de Jonge,43,2019,"$11,904 ",2,0,11,1,0,0,73,0,0,0,0,0,0
Dicky Pride,54,2019,"$11,280 ",2,0,7,1,0,0,72.7,0,0,0,0,0,0
Brian Davis,49,2019,"$10,500 ",8,0,19,1,0,0,73.2,0,0,0,0,0,0
John Daly,57,2019,"$7,070 ",2,0,4,0,0,0,73.5,0,0,0,0,0,0
Heath Slocum,50,2019,"$6,685 ",2,0,7,1,0,0,74,0,0,0,0,0,0
Will MacKenzie,49,2019,"$6,510 ",1,0,15,1,0,0,72.4,0,0,0,0,0,0
Ken Duke,55,2019,"$6,450 ",3,0,4,1,0,0,72.3,0,0,0,0,0,0
Jason Bohn,50,2019,"$5,970 ",2,0,10,1,0,0,73.1,0,0,0,0,0,0
Jonathan Kaye,53,2019,"$5,910 ",2,0,8,1,0,0,73.9,0,0,0,0,0,0
Justin Thomas,30,2018,"$8,694,821 ",1610,23,82,21,10,3,69.1,311.8,58.4,68.8,1.714,54.3,4.341
Dustin Johnson,39,2018,"$8,457,352 ",2056,20,74,19,12,3,68.5,314,59.5,70.6,1.699,52.2,4.703
Justin Rose,43,2018,"$8,130,678 ",2260,18,66,17,11,2,69,303.5,66,69.9,1.732,61.2,4.53
Bryson DeChambeau,30,2018,"$8,094,489 ",2188,26,93,22,9,3,69.6,305.7,62.2,69.7,1.758,48.7,4.204
Brooks Koepka,33,2018,"$7,094,047 ",1093,17,62,16,6,2,69.4,313.4,56.8,68.3,1.747,53.8,4.194
Bubba Watson,45,2018,"$5,793,748 ",918,24,79,19,6,3,70.1,313.1,58.3,68.2,1.773,44.2,3.747
Tony Finau,34,2018,"$5,620,138 ",1732,28,98,25,11,0,69.5,315.1,55.1,70.2,1.735,44.4,4.133
Tiger Woods,48,2018,"$5,443,841 ",2219,18,68,16,7,1,69.6,303.6,59.3,67.4,1.744,48.1,4.029
Webb Simpson,38,2018,"$5,376,417 ",844,26,92,23,9,1,69.3,293.7,62.3,67.9,1.741,62.9,3.587
Jason Day,36,2018,"$5,087,461 ",564,20,68,18,5,2,69.7,310,58.3,65.3,1.716,62.5,4.176
Francesco Molinari,41,2018,"$5,065,842 ",512,20,70,17,5,2,69.9,301,65,70.2,1.78,47.9,3.771
Patrick Reed,33,2018,"$5,006,267 ",438,26,86,20,7,1,70.2,298.1,55.1,63.6,1.746,56.7,3.756
Phil Mickelson,53,2018,"$4,595,187 ",448,24,87,21,6,1,70.1,300.3,52.9,64.9,1.699,58.6,4.31
Rory McIlroy,34,2018,"$4,410,296 ",602,18,61,14,7,1,69.5,319.7,55.8,66.3,1.736,52.4,4
Billy Horschel,37,2018,"$4,315,200 ",1840,27,82,17,6,1,69.8,295.4,67.8,71.7,1.757,51.7,3.915
Rickie Fowler,35,2018,"$4,235,237 ",512,20,74,17,6,0,69.4,299.8,65.3,69.5,1.744,60.5,4
Keegan Bradley,37,2018,"$4,069,464 ",1253,27,93,23,5,1,70.2,299.6,67.9,69.2,1.784,45.2,3.645
Xander Schauffele,30,2018,"$4,047,538 ",581,27,93,22,7,0,70.4,304.9,59.8,65.6,1.763,48.4,3.806
Jon Rahm,29,2018,"$3,992,678 ",422,20,66,16,5,1,69.7,308.9,59.2,70.1,1.747,48.5,4.439
Patrick Cantlay,32,2018,"$3,963,962 ",453,23,80,21,7,1,69.9,303.1,61.6,70.7,1.781,53.9,3.825
Tommy Fleetwood,33,2018,"$3,935,147 ",483,19,66,18,6,0,69.5,306.9,65,69.4,1.745,51.7,4.318
Kyle Stanley,36,2018,"$3,916,001 ",373,26,88,20,5,0,70.3,295.7,71.3,71.1,1.781,46.2,3.818
Marc Leishman,40,2018,"$3,771,221 ",284,25,90,22,6,0,70.1,298.5,60.2,66.7,1.749,48.8,3.956
Paul Casey,46,2018,"$3,641,771 ",403,20,71,17,5,1,70,304.3,63.1,67.8,1.775,54.5,3.775
Cameron Smith,30,2018,"$3,622,607 ",660,24,78,18,7,0,70.4,298.4,57,63.2,1.745,56.5,3.692
Kevin Na,40,2018,"$3,578,316 ",336,26,86,20,4,1,69.9,289.6,64.1,64.7,1.722,61.5,3.907
Patton Kizzire,38,2018,"$3,541,151 ",275,29,89,18,4,2,70.4,298.7,55.6,69,1.764,46.8,3.775
Aaron Wise,27,2018,"$3,486,407 ",418,29,88,16,4,1,70.1,302.9,63.3,68.8,1.748,47.9,4.114
Gary Woodland,39,2018,"$3,108,907 ",385,27,91,21,3,1,70.2,313.5,63.7,70.5,1.794,41.5,3.802
Kevin Kisner,40,2018,"$2,972,285 ",1132,25,78,18,4,0,70.4,290.8,66.3,65.4,1.766,44,3.436
Pat Perez,48,2018,"$2,962,641 ",1190,23,75,19,4,1,70.6,290.9,65.1,67.8,1.765,47.2,3.853
Jordan Spieth,30,2018,"$2,793,536 ",1323,23,76,18,5,0,69.5,299.8,61.6,70.5,1.755,51.3,4.158
Chesson Hadley,36,2018,"$2,768,863 ",1163,30,99,23,7,0,70.1,300,60.1,67.7,1.74,46.1,3.939
Brian Harman,37,2018,"$2,733,463 ",1129,25,90,22,8,0,70.5,291.9,67.1,67.6,1.767,47.2,3.733
Ian Poulter,48,2018,"$2,714,450 ",1090,20,64,16,4,1,70.6,293.6,66.4,67,1.766,50.4,3.75
Luke List,39,2018,"$2,710,736 ",1150,29,95,20,5,0,70.3,314.6,54.7,68.4,1.794,52.2,3.863
Chez Reavie,42,2018,"$2,700,018 ",1252,28,86,19,3,0,70.2,286.5,72.2,68.7,1.767,43.1,3.709
Alex Noren,41,2018,"$2,699,150 ",1169,18,60,14,3,0,70.4,299.2,61.7,64.9,1.782,51.9,3.467
Hideki Matsuyama,32,2018,"$2,687,477 ",602,21,72,19,4,0,69.8,302,62.8,69.3,1.754,52,3.944
Henrik Stenson,47,2018,"$2,680,487 ",990,16,56,14,5,0,69.7,291.5,75.2,73.5,1.8,55.6,3.643
Andrew Landry,36,2018,"$2,642,179 ",1225,27,80,15,5,1,70.7,291.1,62.9,65.6,1.756,42.6,3.5
Byeong Hun An,32,2018,"$2,599,264 ",1170,24,84,19,4,0,70.3,307.9,60.2,68,1.791,48.9,3.655
Emiliano Grillo,31,2018,"$2,493,163 ",1270,25,92,22,6,0,70,295.2,70.2,68.8,1.754,54.8,3.891
Ryan Armour,48,2018,"$2,485,203 ",1113,32,107,22,3,1,70.2,283.5,73.6,68.2,1.773,52.5,3.664
Rafa Cabrera Bello,39,2018,"$2,449,869 ",1175,20,70,18,5,0,70,295.1,67.9,70.2,1.773,56.9,3.771
Beau Hossler,29,2018,"$2,449,707 ",1134,28,104,24,5,0,70.2,300,60.5,67.9,1.748,54.2,3.788
Brandt Snedeker,43,2018,"$2,448,970 ",1188,25,82,17,4,1,70.2,293.1,62.8,65,1.743,56.7,3.622
Austin Cook,33,2018,"$2,448,920 ",1203,29,107,24,3,1,70.1,292.3,66.8,66.5,1.756,53.4,3.916
Andrew Putnam,35,2018,"$2,387,382 ",1267,28,89,21,5,1,70.1,293.8,60.4,70.5,1.783,48.8,3.629
Brendan Steele,40,2018,"$2,291,128 ",1015,22,67,16,3,1,71,310.3,60.5,69.2,1.817,48,3.478
Si Woo Kim,28,2018,"$2,276,114 ",1026,31,104,23,5,0,71.1,290.8,60.7,63.8,1.77,51.7,3.587
Adam Scott,43,2018,"$2,237,641 ",1081,21,78,18,3,0,70.6,304.6,62.5,70.7,1.799,50.4,3.756
Charles Howell III,44,2018,"$2,179,725 ",1041,28,100,24,4,0,70.1,300.9,62.6,69.3,1.782,55.8,3.55
Brian Gay,52,2018,"$2,152,501 ",949,30,101,22,6,0,69.9,282.9,71.4,64.5,1.726,53.1,3.822
Jimmy Walker,45,2018,"$2,027,312 ",741,23,77,17,4,0,70.9,299,53.5,61.9,1.756,53.3,3.623
Ryan Moore,41,2018,"$1,986,608 ",806,22,78,17,5,0,70,289.2,71.9,68.8,1.777,47.1,3.5
J.J. Spaun,33,2018,"$1,978,906 ",919,27,79,16,4,0,70.1,298.2,66.2,69.5,1.772,43.9,3.911
Ted Potter Jr.,40,2018,"$1,976,198 ",889,28,87,15,1,1,70.9,286,66.8,63,1.759,51.3,3.575
Zach Johnson,48,2018,"$1,957,635 ",981,25,87,23,2,0,69.7,289.8,63.9,67.4,1.742,53,3.862
Tyrrell Hatton,32,2018,"$1,943,360 ",1041,16,54,13,4,0,70.4,298.8,61.8,66.5,1.8,54.7,3.352
Adam Hadwin,36,2018,"$1,932,488 ",1226,25,89,22,3,0,70.6,289.4,65.6,68,1.783,47.3,3.596
Whee Kim,32,2018,"$1,920,340 ",805,30,89,16,3,0,71,285.8,61.1,63.5,1.744,61.8,3.618
Stewart Cink,50,2018,"$1,887,208 ",775,25,87,18,3,0,70.3,298.1,57.6,68.6,1.777,49.3,3.621
Scott Piercy,45,2018,"$1,882,337 ",872,26,80,17,2,1,70.4,296.6,65.7,69.7,1.794,45,3.663
C.T. Pan,32,2018,"$1,881,787 ",1238,30,98,22,2,0,70.1,292.7,69,71.2,1.77,42.1,3.786
Chris Kirk,38,2018,"$1,824,111 ",888,29,106,24,4,0,69.9,289.8,64.6,68.2,1.76,54,3.774
Peter Uihlein,34,2018,"$1,797,715 ",911,26,78,16,4,0,70.4,302.2,52.9,67.9,1.786,54.2,3.654
Jason Kokrak,38,2018,"$1,794,431 ",1053,29,99,21,4,0,70,309.5,58.1,70.4,1.776,40.9,3.879
Louis Oosthuizen,41,2018,"$1,731,493 ",847,17,54,14,3,0,70.5,299.8,64.8,65.7,1.809,64.3,3.426
Daniel Berger,30,2018,"$1,721,763 ",839,23,76,18,1,0,70.4,297.7,64.6,66.9,1.785,47.3,3.526
Matt Kuchar,45,2018,"$1,720,097 ",740,24,80,20,4,0,70.3,288,63.3,66.8,1.762,60.8,3.575
Charl Schwartzel,39,2018,"$1,710,179 ",528,20,58,13,3,0,71.7,299.5,55.2,61.1,1.782,49.3,3.276
Abraham Ancer,33,2018,"$1,676,695 ",938,30,96,20,5,0,70.3,296.1,63.6,66.5,1.768,54.1,3.635
Keith Mitchell,32,2018,"$1,641,260 ",878,29,97,21,4,0,70.3,312.6,58.6,69.4,1.788,48.6,4.093
Kevin Chappell,37,2018,"$1,608,338 ",667,23,74,16,4,0,70.9,308.6,61.3,66.5,1.786,44.1,3.784
J.B. Holmes,41,2018,"$1,595,942 ",668,24,75,14,3,0,70.7,306.1,57.1,65.3,1.765,54.5,3.587
Branden Grace,35,2018,"$1,529,289 ",634,18,64,16,2,0,70.5,298.9,63.5,67.1,1.772,47.5,3.688
Kevin Streelman,45,2018,"$1,523,642 ",724,27,92,20,5,0,70.1,295.1,69.1,71.6,1.797,47.2,3.565
Russell Henley,34,2018,"$1,516,438 ",589,23,74,16,3,0,70.6,293,70,68.8,1.783,42.5,3.689
Jason Dufner,46,2018,"$1,497,655 ",557,22,64,14,2,0,71.3,297.1,63.3,64.2,1.811,50.9,3.359
Kelly Kraft,35,2018,"$1,496,253 ",627,31,92,16,3,0,71.2,288.6,65.8,63.8,1.778,44.9,3.315
Ryan Palmer,47,2018,"$1,484,445 ",916,22,63,13,3,0,70.5,305.2,59.1,65.6,1.754,46.2,3.937
Joel Dahmen,36,2018,"$1,476,838 ",676,28,85,19,3,0,70,295.8,66.4,68.8,1.778,51.9,3.753
Satoshi Kodaira,34,2018,"$1,471,462 ",600,18,48,8,1,1,72.2,293.6,65.5,60.3,1.827,39.5,2.979
Brice Garnett,40,2018,"$1,466,224 ",933,30,95,20,2,1,70.7,296.7,64.5,66.8,1.78,41.4,3.484
Anirban Lahiri,36,2018,"$1,441,205 ",566,24,82,17,4,0,70.7,294,60.1,64.7,1.77,51.5,3.573
Russell Knox,38,2018,"$1,424,030 ",629,27,90,20,3,0,70.4,291.7,67.7,69.6,1.791,52.2,3.489
Nick Watney,42,2018,"$1,402,833 ",760,26,90,21,1,0,70.5,307.5,56.3,68,1.755,43.8,3.667
Charley Hoffman,47,2018,"$1,400,637 ",689,25,80,19,0,0,70.6,299.5,58.3,66.5,1.777,45.1,3.563
James Hahn,42,2018,"$1,386,301 ",666,26,82,17,1,0,70.5,298.7,63.7,68.3,1.78,48.5,3.561
Michael Kim,30,2018,"$1,379,736 ",675,27,70,10,1,1,71.5,289.9,54.9,60.6,1.746,48.8,3.443
Kevin Tway,35,2018,"$1,379,544 ",643,31,104,24,3,0,70.4,310.1,52.6,66.9,1.773,49.4,3.76
Jamie Lovemark,36,2018,"$1,377,286 ",664,26,88,20,3,0,70.5,303.2,56.9,64.6,1.751,53.3,3.761
Tom Hoge,34,2018,"$1,358,542 ",608,31,93,20,3,0,70.6,291.4,62.4,63.6,1.752,49.4,3.806
Troy Merritt,38,2018,"$1,326,989 ",616,27,85,17,3,1,70.5,295.4,62.9,65.2,1.747,48.5,3.706
Ollie Schniederjans,30,2018,"$1,303,610 ",573,27,87,19,3,0,70.6,301.4,52.2,62.8,1.732,51.5,3.92
Patrick Rodgers,31,2018,"$1,287,040 ",541,30,93,19,3,0,70.7,303.5,61.1,65.7,1.766,51.7,3.688
Danny Lee,33,2018,"$1,269,386 ",587,30,86,15,3,0,70.7,290.6,62.6,65.1,1.742,55.6,3.826
Sung Kang,36,2018,"$1,243,309 ",490,29,85,16,2,0,71.8,293.1,56.7,63.2,1.768,50.3,3.435
Harold Varner III,33,2018,"$1,223,064 ",524,27,89,18,3,0,70.8,308.2,59,67.8,1.786,51.9,3.449
Alex Cejka,53,2018,"$1,198,541 ",524,24,69,16,2,0,70.3,286.7,66.5,63.8,1.756,59.3,3.42
Trey Mullinax,31,2018,"$1,184,245 ",550,24,69,14,3,0,70.6,318.3,54.9,65.4,1.759,48,3.826
Bronson Burgoon,36,2018,"$1,179,616 ",718,24,69,11,2,0,70.2,302.8,64.5,68.4,1.778,45.9,3.812
Brandon Harkins,37,2018,"$1,148,115 ",545,30,95,21,3,0,70.4,303.1,54.8,65.7,1.745,53.4,3.937
Scott Stallings,38,2018,"$1,147,573 ",608,30,90,18,2,0,70.5,299.7,56.6,65.6,1.788,55.6,3.5
Jhonattan Vegas,39,2018,"$1,137,444 ",598,27,89,20,1,0,71.2,303.6,57.9,65.2,1.807,39.6,3.427
Rory Sabbatini,47,2018,"$1,126,057 ",521,27,89,19,1,0,70.2,292.3,62,67.9,1.776,60.7,3.73
Sean O'Hair,41,2018,"$1,104,865 ",526,22,63,12,2,0,71.3,302.7,60.1,63.8,1.778,51.1,3.413
Brian Stuard,41,2018,"$1,089,763 ",654,32,97,19,3,0,70.7,278.9,71.4,67.1,1.762,48,3.412
Richy Werenski,32,2018,"$1,081,283 ",498,32,92,17,2,0,70.8,291.8,65.1,67,1.782,43.3,3.413
Scott Brown,40,2018,"$1,076,678 ",422,32,98,19,2,0,71,292.6,62,65.6,1.762,42.9,3.602
Grayson Murray,30,2018,"$1,056,628 ",438,22,72,15,2,0,71.9,307.3,56,62.5,1.759,43.9,3.958
Sam Ryder,34,2018,"$1,046,166 ",551,26,80,15,3,0,70.2,297.3,66.9,72.1,1.785,43.5,3.838
Martin Laird,41,2018,"$1,017,580 ",453,22,65,14,3,0,70.4,299,63.2,65.9,1.764,50.5,3.892
Sam Saunders,36,2018,"$981,936 ",437,26,74,14,4,0,70.4,302.8,60.1,65,1.74,51.7,4.014
Ryan Blaum,40,2018,"$980,877 ",433,28,78,14,2,0,70.5,289,64.3,66.1,1.761,41.5,3.782
John Huh,33,2018,"$974,538 ",480,29,90,18,2,0,70.3,287.1,63.8,65.8,1.741,47.1,3.7
Vaughn Taylor,48,2018,"$965,691 ",445,25,79,16,3,0,70.3,286.1,67.5,67,1.769,47.7,3.911
Tyler Duncan,34,2018,"$944,021 ",457,31,93,17,2,0,70.8,294.4,66.7,69.7,1.795,32.4,3.495
J.T. Poston,30,2018,"$940,661 ",448,22,71,14,2,0,70.4,300.7,61.5,68.3,1.747,50,3.789
William McGirt,44,2018,"$933,327 ",449,26,78,16,3,0,70.4,289.3,59.9,67.6,1.786,53.3,3.321
Bud Cauley,34,2018,"$900,591 ",405,17,53,11,2,0,71.2,295.4,60.8,64.3,1.763,54.4,3.66
Nick Taylor,35,2018,"$899,373 ",420,30,90,17,2,0,70.8,292.7,60.9,67.7,1.797,55.6,3.456
Sergio Garcia,44,2018,"$878,354 ",362,15,0,7,3,0,0,0,0,0,0,0,0
Martin Piller,38,2018,"$847,304 ",371,28,77,12,2,0,71.5,292.2,58.5,60.4,1.762,47.6,3.494
Thomas Pieters,32,2018,"$813,227 ",260,11,0,10,1,0,0,0,0,0,0,0,0
Chad Campbell,49,2018,"$801,960 ",361,28,79,15,2,0,71.3,286.5,64.7,65.5,1.815,50,3.076
Harris English,34,2018,"$799,450 ",383,31,78,11,2,0,70.8,302.4,59,63.3,1.764,44.7,3.603
Ben Silverman,36,2018,"$793,140 ",323,28,84,17,2,0,70.9,290.2,65.6,64.9,1.757,44.7,3.702
Séamus Power,37,2018,"$791,018 ",455,28,78,15,2,0,70.4,302.6,55.2,65.2,1.778,60.9,3.641
Lucas Glover,44,2018,"$789,382 ",324,18,61,15,1,0,71.2,297.7,65.1,67.1,1.809,51.6,3.475
Tyrone Van Aswegen,42,2018,"$763,584 ",364,31,93,20,1,0,70.9,290.3,57,65.2,1.766,49,3.419
Corey Conners,32,2018,"$728,296 ",353,28,93,20,1,0,70.4,303.3,63,70.2,1.797,44.3,3.71
Aaron Baddeley,43,2018,"$725,928 ",342,27,78,15,1,0,70.7,295.3,53.3,63.4,1.782,57,3.333
Derek Fathauer,38,2018,"$708,712 ",316,28,80,14,1,0,71.5,289.1,53.3,60.3,1.754,43.6,3.438
Robert Garrigus,46,2018,"$702,030 ",353,27,76,13,1,0,70.9,307.9,56.4,65.3,1.785,43.2,3.763
Tom Lovelady,30,2018,"$700,783 ",332,28,81,15,2,0,70.9,315.9,54.7,67.1,1.774,49.7,3.914
Shane Lowry,36,2018,"$696,897 ",296,19,56,13,0,0,70.9,300.7,61.2,68.7,1.793,50.5,3.464
Jim Furyk,53,2018,"$660,010 ",291,15,48,10,2,0,70.6,280.5,69.9,63.2,1.791,46.3,3.146
Johnson Wagner,43,2018,"$656,322 ",338,21,69,16,0,0,69.9,286.1,64.2,67.9,1.754,52.7,3.652
Talor Gooch,32,2018,"$654,200 ",308,27,72,12,0,0,71,298.9,57.3,63.6,1.777,51.5,3.403
Bill Haas,41,2018,"$638,414 ",262,25,74,14,1,0,70.9,296.2,57.3,64.8,1.811,57.3,3.054
David Hearn,44,2018,"$622,383 ",315,21,60,11,2,0,70.6,285.1,66.6,68.9,1.778,47.6,3.633
Ben Crane,48,2018,"$620,646 ",267,21,59,11,1,0,70.6,281.1,67.5,64.9,1.762,66,3.407
David Lingmerth,36,2018,"$616,758 ",274,26,78,16,0,0,70.7,285.4,68.9,63,1.738,48.4,3.795
Nicholas Lindheim,39,2018,"$593,842 ",272,26,69,13,1,0,70.7,293.5,60.4,68,1.762,44,3.681
Steve Stricker,57,2018,"$582,566 ",274,12,0,9,0,0,0,0,0,0,0,0,0
Graeme McDowell,44,2018,"$581,024 ",274,20,59,13,1,0,71.1,293.2,64.9,64.5,1.796,47.4,3.339
Hudson Swafford,36,2018,"$569,391 ",245,22,67,15,0,0,71,302.8,64.6,69,1.81,51.5,3.642
Chris Stroud,42,2018,"$565,466 ",255,27,73,15,1,0,71.2,289.8,62.2,62.9,1.769,53.4,3.507
Michael Thompson,38,2018,"$563,972 ",280,19,58,12,0,0,70.4,296.4,64.7,70.1,1.776,48.6,3.724
Retief Goosen,55,2018,"$545,364 ",261,20,52,10,1,0,71.6,296.2,55.2,61.8,1.791,41.9,3.212
Matt Jones,43,2018,"$538,681 ",264,23,62,11,0,0,70.7,304.5,59.4,66.5,1.765,51.4,3.629
Ben Martin,36,2018,"$532,936 ",266,20,64,12,1,0,70.8,289.6,63.5,64,1.745,57.7,3.594
Shawn Stefani,42,2018,"$523,204 ",268,25,74,12,1,0,70.7,299.6,56.5,67.5,1.78,47.5,3.635
Mackenzie Hughes,33,2018,"$518,476 ",227,28,76,11,1,0,70.9,294.9,60,66,1.766,41.7,3.658
Denny McCarthy,31,2018,"$498,341 ",267,22,63,13,1,0,70.3,295.4,63.5,68.2,1.777,46.2,3.492
Wesley Bryan,33,2018,"$498,166 ",219,23,67,12,0,0,71.2,280.4,55.4,61.3,1.748,49.6,3.403
J.J. Henry,48,2018,"$482,052 ",239,28,75,13,1,0,70.9,291.8,66.2,70.5,1.812,42.2,3.24
Adam Schenk,32,2018,"$474,923 ",239,28,80,14,1,0,71,305.5,57.7,67.9,1.805,42.4,3.288
Hunter Mahan,41,2018,"$457,337 ",234,21,63,12,1,0,70.5,296.9,65,69,1.757,41,3.825
Jonathan Randolph,--,2018,"$453,328 ",166,25,65,11,1,0,71.6,289.4,62.2,60.4,1.789,54,3.169
Martin Flores,42,2018,"$449,266 ",215,29,86,17,0,0,71.1,300,54.9,66.3,1.772,40.6,3.616
Fabián Gómez,45,2018,"$437,032 ",221,28,84,16,0,0,70.6,291.1,65,67.9,1.78,43.2,3.393
Stephan Jaeger,34,2018,"$422,260 ",211,26,75,14,0,0,70.9,299.2,58.8,67.1,1.79,47,3.44
Xinjun Zhang,36,2018,"$420,377 ",195,28,75,12,1,0,71.1,298.7,65.3,67,1.802,49.2,3.547
Peter Malnati,36,2018,"$420,001 ",226,28,83,15,0,0,70.5,290.9,56.9,63,1.723,56.7,3.735
Ross Fisher,43,2018,"$412,954 ",119,13,0,9,0,0,0,0,0,0,0,0,0
Robert Streb,36,2018,"$411,606 ",155,29,74,10,1,0,71.6,292.6,54.1,64.9,1.792,45,3.311
Blayne Barber,34,2018,"$398,137 ",202,22,67,12,0,0,70.1,294.7,64.7,70,1.781,52.7,3.791
Dominic Bozzelli,32,2018,"$391,634 ",190,20,65,12,0,0,70.8,297,55.7,60.9,1.75,44.8,3.569
Cameron Percy,49,2018,"$387,612 ",191,16,50,11,2,0,70.1,295.6,63.7,69.6,1.76,54.8,3.76
D.A. Points,47,2018,"$377,265 ",162,25,61,6,1,0,72.4,280.8,60.5,60.2,1.778,57.7,3.066
Jonas Blixt,39,2018,"$368,518 ",167,23,61,10,0,0,71.9,293.1,60.3,62,1.8,52.1,3.148
Ethan Tracy,--,2018,"$364,493 ",157,23,68,12,0,0,71.4,299,60.3,64.9,1.778,34.9,3.338
Lanto Griffin,35,2018,"$358,380 ",175,26,74,13,0,0,70.6,302.5,55.3,67.4,1.772,50.4,3.77
Ricky Barnes,43,2018,"$340,591 ",164,22,59,11,1,0,70.8,290.6,47.2,63.7,1.708,51.6,4.068
Zac Blair,33,2018,"$330,507 ",176,20,58,11,0,0,70.5,279.5,62.8,66.5,1.758,61.6,3.586
Steve Wheatcroft,46,2018,"$309,656 ",138,20,58,9,1,0,70.9,288.9,69.8,66.6,1.784,47.7,3.466
Brett Stegmaier,40,2018,"$305,607 ",149,21,61,12,0,0,70.5,295.4,58.4,70.3,1.775,48.3,3.787
Cody Gribble,33,2018,"$302,593 ",141,25,65,10,0,0,71.8,301,55.4,62.5,1.759,48.7,3.554
Matt Every,40,2018,"$299,162 ",113,30,75,10,1,0,71.7,294.2,55.5,64.6,1.78,48.8,3.467
Nate Lashley,41,2018,"$296,650 ",168,17,47,8,0,0,70.6,293.9,60.6,68.2,1.79,48.6,3.426
Greg Chalmers,50,2018,"$288,023 ",133,20,52,7,1,0,72.4,282.8,58.9,56.9,1.747,50.4,3.173
Rob Oppenheim,44,2018,"$279,019 ",148,26,68,11,0,0,71,285.2,56.3,64.1,1.769,60,3.471
Jonathan Byrd,46,2018,"$267,055 ",147,24,62,11,0,0,70.7,291.7,58.6,68.2,1.779,57.6,3.484
Graham DeLaet,42,2018,"$251,630 ",111,3,0,2,1,0,0,0,0,0,0,0,0
Roberto Díaz,37,2018,"$235,635 ",107,25,68,11,0,0,71.3,286.3,63.2,63.7,1.794,50,3.176
Daniel Summerhays,40,2018,"$234,510 ",89,19,45,6,1,0,72.5,287.1,54.7,56.8,1.737,52.4,3.222
Camilo Villegas,42,2018,"$229,439 ",90,14,0,8,0,0,0,0,0,0,0,0,0
K.J. Choi,53,2018,"$219,405 ",110,14,0,6,1,0,0,0,0,0,0,0,0
Tim Herron,54,2018,"$209,216 ",87,12,0,4,0,0,0,0,0,0,0,0,0
Andres Romero,42,2018,"$206,764 ",104,6,0,3,1,0,0,0,0,0,0,0,0
Smylie Kaufman,31,2018,"$201,136 ",74,22,0,3,1,0,0,0,0,0,0,0,0
Conrad Shindler,35,2018,"$187,399 ",92,20,56,9,0,0,70.6,291.3,65.8,66.3,1.781,48.1,3.411
Sangmoon Bae,37,2018,"$184,057 ",71,17,0,5,0,0,0,0,0,0,0,0,0
Rod Pampling,54,2018,"$183,806 ",64,20,58,11,0,0,72.1,288.4,63.7,62.6,1.792,43.2,3.172
Cameron Tringale,36,2018,"$179,459 ",88,26,63,7,0,0,71.8,289.3,52,65.5,1.813,52.8,3.222
Stuart Appleby,52,2018,"$175,235 ",84,12,0,5,0,0,0,0,0,0,0,0,0
Parker McLachlin,44,2018,"$174,039 ",92,11,0,6,0,0,0,0,0,0,0,0,0
Morgan Hoffmann,34,2018,"$170,673 ",81,9,0,3,0,0,0,0,0,0,0,0,0
Billy Hurley III,41,2018,"$145,725 ",73,27,64,8,0,0,71.3,284,59.2,63,1.773,49,3.266
Bernhard Langer,66,2018,"$130,200 ",57,2,0,2,0,0,0,0,0,0,0,0,0
John Merrick,41,2018,"$119,407 ",79,11,0,3,0,0,0,0,0,0,0,0,0
Martin Kaymer,39,2018,"$115,379 ",42,11,0,5,0,0,0,0,0,0,0,0,0
Brendon de Jonge,43,2018,"$110,276 ",49,14,0,5,1,0,0,0,0,0,0,0,0
Jerry Kelly,57,2018,"$108,500 ",54,3,0,1,0,0,0,0,0,0,0,0,0
Ernie Els,54,2018,"$102,868 ",46,15,0,5,0,0,0,0,0,0,0,0,0
Davis Love III,59,2018,"$97,920 ",45,12,0,5,0,0,0,0,0,0,0,0,0
Vijay Singh,61,2018,"$95,334 ",24,10,0,5,0,0,0,0,0,0,0,0,0
Geoff Ogilvy,46,2018,"$93,947 ",48,18,0,4,0,0,0,0,0,0,0,0,0
Padraig Harrington,52,2018,"$93,260 ",29,16,0,7,0,0,0,0,0,0,0,0,0
